labeled_object.ordinal,labeled_object.onset,labeled_object.offset,labeled_object.object,labeled_object.utterance_type,labeled_object.object_present,labeled_object.speaker,labeled_object.basic_level
57,907001,908209,xylophone,i,y,MOT,xylophone
58,915039,916526,pirate+ship,q,y,MOT,ship
59,918731,919808,ship,q,n,MOT,ship
60,926118,927464,purse,d,y,MOT,purse
61,929170,930500,pirate+ship,q,n,MOT,ship
62,933261,934032,pirate+ship,q,n,MOT,ship
63,965365,966480,ship,q,y,MOT,ship
64,969517,970662,pirate+ship,q,y,MOT,ship
65,990004,991179,pirates,q,n,MOT,pirate
66,991862,992639,bird,q,n,MOT,bird
67,992640,993794,pirates,d,n,MOT,pirate
68,995035,995965,Charlie,q,y,MOT,Charlie
69,997455,998810,Charlie,n,y,MOT,Charlie
70,1011934,1013396,baby,d,y,MOT,baby
71,1014671,1015631,baby,n,y,MOT,baby
72,1018300,1019229,Charlie,n,y,MOT,Charlie
73,1019510,1021085,Charlie,n,y,MOT,Charlie
74,1024163,1025672,pirates,q,n,MOT,pirate
75,1028153,1029203,bird,d,y,MOT,bird
76,1030722,1034629,pirate,n,y,MOT,pirate
77,1033112,1034381,pirate,n,y,MOT,pirate
78,1034630,1035572,parrot,n,y,MOT,parrot
79,1036317,1037684,parrot,d,y,MOT,parrot
80,1070147,1072099,princess,q,y,MOT,princess
81,1077026,1078606,pirate+ship,n,y,MOT,ship
82,1084473,1085436,boat,q,n,MOT,boat
83,1085499,1086194,dog,q,y,MOT,dog
84,1086195,1086920,ship,q,n,MOT,ship
85,1092346,1092801,cow,q,y,MOT,cow
86,1092828,1093289,cow,q,y,MOT,cow
87,1093290,1094280,ship,q,y,MOT,ship
88,1096905,1097742,cow,q,y,MOT,cow
89,1099045,1099942,cow,q,y,MOT,cow
90,1100563,1102050,pirate,n,y,MOT,pirate
91,1104255,1104971,cow,q,y,MOT,cow
92,1111610,1113056,cannon+ball,q,n,MOT,ball
93,1125484,1126414,ball,i,y,MOT,ball
94,1126534,1127587,ball,i,y,MOT,ball
95,1200000,1204000,newword,d,n,MOT,***FIX ME***
95,1213544,1214762,balls,d,n,MOT,ball
96,1281894,1282247,cow,d,y,MOT,cow
97,1282248,1283204,cow,q,y,MOT,cow
98,1287638,1288411,cow,n,y,MOT,cow
99,1310002,1311086,baby,n,y,MOT,baby
100,1311644,1314026,babe,n,y,CHI,baby
101,1315918,1317194,baby,q,y,MOT,baby
102,1327307,1328390,baby,n,y,MOT,baby
103,1332556,1333485,baby,q,y,MOT,baby
104,1341868,1343726,Charlie,n,y,MOT,Charlie
105,1350005,1350777,Charlie,n,y,MOT,Charlie
106,1351900,1353659,eyes,n,y,MOT,eye
107,1356121,1357487,Charlie,n,y,MOT,Charlie
108,1370336,1371248,boy,d,y,MOT,boy
109,1371249,1372304,boy,d,y,MOT,boy
110,1375872,1376709,baby,d,y,MOT,baby
111,1377392,1380059,Shae,q,y,MOT,Shae
112,1384496,1386296,baby,n,y,MOT,baby
113,1402719,1403866,fish,d,n,MOT,fish
114,1419005,1420913,construction+worker,d,y,MOT,construction+worker
115,1421098,1422893,dump+truck,d,n,MOT,truck
116,1425002,1426645,dump+truck,d,y,MOT,truck
117,1427561,1428767,dump+truck,d,y,MOT,truck
118,1437687,1438463,rocks,d,y,MOT,rock
119,1446968,1447741,rocks,i,y,MOT,rock
120,1521961,1523170,Charlie,q,y,MOT,Charlie
121,1536504,1537370,Charlie,n,y,MOT,Charlie
122,1542555,1543772,Charlier,n,y,MOT,Charlier
123,1552603,1553441,ball,q,y,MOT,ball
124,1557200,1558313,Shae,q,y,MOT,Shae
125,1563310,1564214,finger,q,y,MOT,finger
126,1566106,1567433,finger,d,y,MOT,finger
127,1588748,1590050,bird,n,y,MOT,bird
128,1592005,1593602,bird,n,y,MOT,bird
129,1605117,1606328,doggy,n,y,MOT,dog
130,1615000,1615805,ship,n,y,MOT,ship
131,1627405,1628488,trees,q,y,MOT,tree
132,1628799,1629665,trees,q,y,MOT,tree
133,1629666,1630439,leaves,q,y,MOT,leaf
134,1632052,1633697,tree,n,y,CHI,tree
135,1633698,1634654,tree,n,y,MOT,tree
136,1654001,1654806,book,q,y,MOT,book
137,1655954,1657224,book,i,y,MOT,book
138,1661788,1665905,The+big+book+of+beautiful+babies,d,y,MOT,The+big+book+of+beautiful+babies
139,1669200,1670492,baby,r,y,MOT,baby
140,1670493,1671317,baby,r,y,MOT,baby
141,1671318,1673166,baby,r,y,MOT,baby
142,1673006,1673903,baby,r,y,MOT,baby
143,1675674,1676432,hands,r,y,MOT,hand
144,1676433,1677620,feet,r,y,MOT,foot
145,1677621,1678578,piggies,q,y,MOT,piggy
146,1678578,1680126,piggies,q,y,MOT,piggy
147,1680127,1680986,piggies,i,y,MOT,piggy
148,1682907,1684550,baby,r,y,MOT,baby
149,1684551,1686992,baby,r,y,MOT,baby
150,1686993,1687850,baby,r,y,MOT,baby
151,1687851,1688873,baby,r,y,MOT,baby
152,1691626,1692569,dress,r,y,MOT,dress
153,1692570,1693526,bear,r,y,MOT,bear
154,1694114,1695076,book,d,y,MOT,book
155,1699017,1700162,baby,r,y,MOT,baby
156,1700163,1701875,hair,r,y,MOT,hair
157,1703177,1704416,bottom,r,y,MOT,NA
158,1705008,1706264,booty+butt,n,y,MOT,NA
